title,year,certificate,rating,description,director,writer,actors,genres
Entebbe,2018,2018,5.8,"Inspired by the true events of the 1976 hijacking of an Air France flight en route from Tel Aviv to Paris, and the most daring rescue mission ever attempted.",José Padilha,"['José Padilha', 'Gregory Burke']","['Batsheva Dance Company', 'Zina Zinchenko', 'Ben Schnetzer', 'Daniel Brühl', 'Amir Khoury', 'Ala Dakka', 'Rosamund Pike', 'Paloma Coquant', 'Trudy Weiss', 'Danny Scheinmann', 'Brontis Jodorowsky', 'Denis Ménochet', 'Gal Pertsiger', 'Saffron Scheinmann', 'Michal Shtamler', 'Flynn Allen', 'Lior Ashkenazi', 'Peter Sullivan']",José Padilha
Hotel Transylvania 3: Summer Vacation,2018,2018,6.3,"Count Dracula and company participate in a cruise for sea-loving monsters, unaware that their boat is being commandeered by the monster-hating Van Helsing family.",Genndy Tartakovsky,"['Genndy Tartakovsky', 'Genndy Tartakovsky']","['Adam Sandler', 'Andy Samberg', 'Selena Gomez', 'Kevin James', 'Fran Drescher', 'Steve Buscemi', 'Molly Shannon', 'David Spade', 'Keegan-Michael Key', 'Jim Gaffigan', 'Kathryn Hahn', 'Asher Blinkoff', 'Chris Parnell', 'Joe Jonas', 'Chrissy Teigen', 'Mel Brooks', 'Aaron LaPlante', 'Michelle Murdocca']",Genndy Tartakovsky
Fantastic Beasts: The Crimes of Grindelwald,2018,2018,6.5,"The second installment of the ""Fantastic Beasts"" series featuring the adventures of Magizoologist Newt Scamander.",David Yates,"['David Yates', 'J.K. Rowling']","['Eddie Redmayne', 'Katherine Waterston', 'Dan Fogler', 'Johnny Depp', 'Kevin Guthrie', 'Carmen Ejogo', 'Wolf Roth', 'Zoë Kravitz', 'Callum Turner', 'Derek Riddell', 'Cornell John', 'Ezra Miller', 'Ingvar Sigurdsson', 'Poppy Corby-Tuech', 'Andrew Turner', 'Maja Bloom', 'Simon Meacock', 'David Sakurai']",David Yates
The Happytime Murders,2018,2018,5.4,"When the puppet cast of a '90s children's TV show begin to get murdered one by one, a disgraced LAPD detective-turned-private eye puppet takes on the case.",Brian Henson,"['Brian Henson', 'Todd Berger']","['Melissa McCarthy', 'Elizabeth Banks', 'Maya Rudolph', 'Leslie David Baker', 'Joel McHale', 'Cynthy Wu', 'Michael McDonald', 'Mitch Silpa', 'Hemky Madera', 'Benjamin Cole Royer', 'Brekkan Spens', 'Ryan Tran', 'Fortune Feimster', 'Brian Palermo', 'Damon Jones', 'Ryan Gaul', 'Jimmy O. Yang', 'Dennis Keiffer']",Brian Henson
Breezy,1973,1973,6.9,"A young girl tries to find her way in life, suffering from her own naivete and sincerity.",Clint Eastwood,"['Clint Eastwood', 'Jo Heims']","['William Holden', 'Kay Lenz', 'Roger C. Carmel', 'Marj Dusay', 'Joan Hotchkis', 'Jamie Smith-Jackson', 'Norman Bartold', 'Lynn Borden', 'Shelley Morrison', 'Dennis Olivieri', 'Eugene Peterson', 'Lew Brown', 'Richard Bull', 'Johnnie Collins III', 'Don Diamond', 'Scott Holden', 'Sandy Kenyon', 'Jack Kosslyn']",Clint Eastwood
So This Is Love,1928,1928,5.4,"Jerry McGuire (William Collier Jr.) is a dress designer in love with shop-girl Hilda Jenson (Shirley Mason). But the problem is that prizefighter Spike Mullins (Johnny Walker) is also in love with Hilda. Jerry, undaunted by the obvious fact that , physically speaking, is no match for the bull-like Spike. Jerry Takes a few boxing lessons and, aided by Hilda, who delibe... Read all",Frank Capra,"['Frank Capra', 'Norman Springer']","['Shirley Mason', 'William Collier Jr.', 'Johnnie Walker', 'Ernie Adams', 'Carl Gerard', 'William H. Strauss', 'Jean Laverty', 'Morgan Brown', 'Ernest Hilliard', 'Al Kunde', 'Art Laforrest', 'Scotty Mattraw', 'Mathew McCue', 'Pat McKee', 'Jack Perry', 'Paul Power', 'Charles Sullivan', 'Harry Tenbrook']",Frank Capra
Venom,2018,2018,6.6,"A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it.",Ruben Fleischer,"['Ruben Fleischer', 'Jeff Pinkner']","['Tom Hardy', 'Michelle Williams', 'Riz Ahmed', 'Scott Haze', 'Reid Scott', 'Jenny Slate', 'Melora Walters', 'Woody Harrelson', 'Peggy Lu', 'Malcolm C. Murray', 'Sope Aluko', 'Wayne Pére', 'Michelle Lee', 'Kurt Yue', ""Chris O'Hara"", 'Emilio Rivera', 'Amelia Young', 'Ariadne Joseph']",Ruben Fleischer
The Nutcracker and the Four Realms,2018,2018,5.5,A young girl is transported into a magical world of gingerbread soldiers and an army of mice.,Lasse Hallström,"['Lasse Hallström', 'Joe Johnston']","['Mackenzie Foy', 'Keira Knightley', 'Morgan Freeman', 'Helen Mirren', 'Tom Sweet', 'Meera Syal', 'Ellie Bamber', 'Matthew Macfadyen', 'Nick Mohammed', 'Charles Streeter', 'Jayden Fowora-Knight', 'Prince', 'Omid Djalili', 'Jack Whitehall', 'Eugenio Derbez', 'Richard E. Grant', 'Gustavo Dudamel', 'Misty Copeland']",Lasse Hallström
Mile 22,2018,2018,6.1,"A small team of elite American intelligence officers, part of a top-secret tactical command unit, try to smuggle a mysterious police officer with sensitive information out of Indonesia.",Peter Berg,"['Peter Berg', 'Graham Roland']","['Mark Wahlberg', 'Lauren Cohan', 'Iko Uwais', 'John Malkovich', 'Ronda Rousey', 'Carlo Alban', 'Natasha Goubskaya', 'Chae-rin Lee', 'Sam Medina', 'Keith Arthur Bolden', 'Jenique Hendrix', 'Billy Smith', 'Myke Holmes', 'Emily Skeggs', 'Terry Kinney', 'Brandon Scales', 'Poorna Jagannathan', 'Peter Berg']",Peter Berg
Skyscraper,2018,2018,5.8,"A security expert must infiltrate a burning skyscraper, 225 stories above ground, when his family is trapped inside by criminals.",Rawson Marshall Thurber,"['Rawson Marshall Thurber', 'Rawson Marshall Thurber']","['Dwayne Johnson', 'Neve Campbell', 'Chin Han', 'Roland Møller', 'Noah Taylor', 'Byron Mann', 'Pablo Schreiber', 'McKenna Roberts', 'Noah Cottrell', 'Hannah Quinlivan', 'Adrian Holmes', 'Elfina Luk', 'Kevin Rankin', 'Gretal Montgomery', 'Jett Klyne', 'Kayden Magnuson', 'Byron Lawson', 'Jason William Day']",Rawson Marshall Thurber
Gringo,2018,2018,6.1,"GRINGO, a dark comedy mixed with white-knuckle action and dramatic intrigue, explores the battle of survival for businessman Harold Soyinka (David Oyelowo) when he finds himself crossing the line from law-abiding citizen to wanted criminal.",Nash Edgerton,"['Nash Edgerton', 'Anthony Tambakis']","['Joel Edgerton', 'Charlize Theron', 'David Oyelowo', 'Thandiwe Newton', 'Bashir Salahuddin', 'Glenn Kubota', 'Melonie Diaz', 'Amanda Seyfried', 'Harry Treadaway', 'Theo Taplitz', 'Paris Jackson', 'Yul Vazquez', 'Hernán Mendoza', 'Hector Kotsifakis', 'Ricardo Esquerra', 'Carlos Corona', 'Javier Escobar', 'Marco Antonio Aguirre']",Nash Edgerton
The Cloverfield Paradox,2018,2018,5.5,"Orbiting a planet on the brink of war, scientists test a device to solve an energy crisis, and end up face-to-face with a dark alternate reality.",Julius Onah,"['Julius Onah', 'Oren Uziel']","['Gugu Mbatha-Raw', 'David Oyelowo', 'Daniel Brühl', 'John Ortiz', ""Chris O'Dowd"", 'Aksel Hennie', 'Ziyi Zhang', 'Elizabeth Debicki', 'Roger Davies', 'Clover Nee', 'Jordan Rivera', 'Michael Stokes III', 'Celeste Clark', 'Nathan Oliver', 'Donal Logue', 'Suzanne Cryer', 'Ken Olin', 'Simon Pegg']",Julius Onah
Tag,2018,2018,6.5,"A small group of former classmates organize an elaborate, annual game of tag that requires some to travel all over the country.",Jeff Tomsic,"['Jeff Tomsic', 'Rob McKittrick']","['Jeremy Renner', 'Ed Helms', 'Jake Johnson', 'Jon Hamm', 'Lil Rel Howery', 'Annabelle Wallis', 'Isla Fisher', 'Hannibal Buress', 'Nora Dunn', 'Steve Berg', 'Leslie Bibb', 'Rashida Jones', 'Indiana Sifuentes', 'Trayce Malachi', 'Jock McKissic', 'Thomas Middleditch', 'Al Mitchell', 'Sebastian Maniscalco']",Jeff Tomsic
Hell Fest,2018,2018,5.5,"A masked serial killer turns a horror-themed amusement park into his own personal playground, terrorizing a group of friends while the rest of the patrons believe that it is all part of the show.",Gregory Plotkin,"['Gregory Plotkin', 'Seth M. Sherwood']","['Cynthea Mercado', 'Stephen Conroy', 'Amy Forsyth', 'Reign Edwards', 'Bex Taylor-Klaus', 'Christian James', 'Matt Mercurio', 'Roby Attal', 'George Howard Adams', 'Courtney Dietz', 'Markus Silbiger', 'Michael Tourek', 'Tony Todd', 'Aaron Gillespie', 'Cecil Elmore Jr.', 'Elle Graham', 'Athena Akers', 'Bobby Akers']",Gregory Plotkin
Beyond Therapy,1987,1987,4.8,A few unusual characters and their unconventional therapists cross paths resulting in hilarious interactions.,Robert Altman,"['Robert Altman', 'Christopher Durang']","['Julie Hagerty', 'Jeff Goldblum', 'Glenda Jackson', 'Tom Conti', 'Christopher Guest', 'Geneviève Page', 'Cris Campion', 'Sandrine Dumas', 'Bertrand Bonvoisin', 'Nicole Evans', 'Louis-Marie Taillefer', 'Matthew Leonard-Lesniak', 'Laure Killing', 'Gilbert Blin', 'Vincent Longuemare', 'Françoise Armel', 'Sylvie Lenor', 'Anne Monner']",Robert Altman
Den of Thieves,2018,2018,7.0,An elite unit of the LA County Sheriff's Dept. and the state's most successful bank robbery crew clash as the outlaws plan a seemingly impossible heist on the Federal Reserve Bank.,Christian Gudegast,"['Christian Gudegast', 'Christian Gudegast']","['Gerard Butler', 'Pablo Schreiber', ""O'Shea Jackson Jr."", '50 Cent', 'Meadow Williams', 'Maurice Compte', 'Brian Van Holt', 'Evan Jones', 'Mo McRae', 'Kaiwi Lyman', 'Dawn Olivieri', 'Eric Braeden', 'Jordan Bridges', 'Lewis Tan', 'Cooper Andrews', 'Marcus LaVoi', 'Nate Boyer', 'John Lewis']",Christian Gudegast
The Strangers: Prey at Night,2018,2018,5.2,A family of four staying at a secluded mobile home park for the night are stalked and then hunted by three masked psychopaths.,Johannes Roberts,"['Johannes Roberts', 'Bryan Bertino']","['Christina Hendricks', 'Martin Henderson', 'Bailee Madison', 'Lewis Pullman', 'Damian Maffei', 'Emma Bellomy', 'Lea Enslin', 'Mary Louise Casanta', 'Ken Strunk', 'Rachel Kuhn', 'Leah Roberts', 'Preston Sadleir', 'Gabriel A. Byrne']",Johannes Roberts
Action Point,2018,2018,5.1,A daredevil designs and operates his own theme park with his friends.,Tim Kirkby,"['Tim Kirkby', 'John Altschuler']","['Johnny Knoxville', 'Eleanor Worthington-Cox', 'Chris Pontius', 'Dan Bakkedahl', 'Johnny Pemberton', 'Brigette Lundy-Paine', 'Eric Manaka', 'Joshua Hoover', 'Alexandra McVicker', 'Michael Everson', 'Aidan Whytock', 'Matthew Peterson', 'Aidan Scott', 'Ashley Dickerson', 'Matt Schulze', 'Camilla Wolfson', 'Patrick De Langhe', 'Stephanie Hough']",Tim Kirkby
Pacific Rim: Uprising,2018,2018,5.6,"Jake Pentecost, son of Stacker Pentecost, reunites with Mako Mori to lead a new generation of Jaeger pilots, including rival Lambert and 15-year-old hacker Amara, against a new Kaiju threat.",Steven S. DeKnight,"['Steven S. DeKnight', 'Steven S. DeKnight']","['John Boyega', 'Scott Eastwood', 'Cailee Spaeny', 'Burn Gorman', 'Charlie Day', 'Tian Jing', 'Jin Zhang', 'Adria Arjona', 'Rinko Kikuchi', 'Karan Brar', 'Wesley Wong', 'Ivanna Sakhno', 'Mackenyu', 'Lily Ji', 'Shyrley Rodriguez', 'Rahart Adams', 'Levi Meaden', 'Dustin Clare']",Steven S. DeKnight
Insidious: The Last Key,2018,2018,5.7,"Parapsychologist Dr. Elise Rainier faces her most fearsome and personal haunting yet, as she is drawn back to her ghostly childhood home, where the terror began.",Adam Robitel,"['Adam Robitel', 'Leigh Whannell']","['Lin Shaye', 'Leigh Whannell', 'Angus Sampson', 'Kirk Acevedo', 'Caitlin Gerard', 'Spencer Locke', 'Josh Stewart', 'Tessa Ferrer', 'Aleque Reid', 'Ava Kolker', 'Pierce Pope', 'Bruce Davison', 'Javier Botet', 'Marcus Henderson', 'Amanda Jaros', 'Judith Drake', 'Hana Hayes', 'Thomas Robie']",Adam Robitel
Rain or Shine,1930,1930,5.6,Woman inherits a traveling circus which brings financial difficulties.,Frank Capra,"['Frank Capra', 'James Gleason']","['Joe Cook', 'Louise Fazenda', 'Joan Peers', 'William Collier Jr.', 'Tom Howard', 'Dave Chasen', 'Alan Roscoe', 'Adolph Milar', 'Clarence Muse', 'Nella Walker', 'Edward Martindel', 'Nora Lane', 'Tyrell Davis', 'Charles Gemora', 'Dannie Mac Grant', 'Ethel Loreen Greer', 'James J. Jeffries', 'Rolfe Sedan']",Frank Capra
The Meg,2018,2018,5.6,A group of scientists exploring the Marianas Trench encounter the largest marine predator that has ever existed - the Megalodon.,Jon Turteltaub,"['Jon Turteltaub', 'Dean Georgaris']","['Jason Statham', 'Bingbing Li', 'Rainn Wilson', 'Cliff Curtis', 'Winston Chao', 'Shuya Sophia Cai', 'Ruby Rose', 'Page Kennedy', 'Robert Taylor', 'Ólafur Darri Ólafsson', 'Jessica McNamee', 'Masi Oka', 'Raymond Vinten', 'Hongmei Mai', 'Wei Yi', 'Vithaya Pansringarm', 'Rob Kipa-Williams', 'Tawanda Manyimo']",Jon Turteltaub
Flight,1929,1929,6.0,A Marine flyer and his flight school mentor fall for the same beautiful nurse.,Frank Capra,"['Frank Capra', 'Ralph Graves']","['Jack Holt', 'Lila Lee', 'Ralph Graves', 'Alan Roscoe', 'Harold Goodwin', 'Jimmy De La Cruze', 'Joe Bordeaux', 'Walter Brennan', 'Eddy Chandler', 'Edgar Dearing', 'George Irving']",Frank Capra
Table 19,2017,2017,5.8,"Eloise, having been relieved of maid of honor duties after being unceremoniously dumped by the best man via text, decides to attend the wedding anyway, only to find herself seated with five fellow unwanted guests at the dreaded Table 19.",Jeffrey Blitz,"['Jeffrey Blitz', 'Mark Duplass']","['Anna Kendrick', 'Lisa Kudrow', 'Craig Robinson', 'Stephen Merchant', 'Rya Meyers', 'Charles Green', 'Tony Revolori', 'Margo Martindale', 'Carlos Aviles', 'June Squibb', 'Brad Oberhofer', 'Megan Lawless', 'Amanda Crew', 'Jay Klaitz', 'Wyatt Russell', 'Richard Haylor', 'Thomas Cocquerel', 'Andy Daly']",Jeffrey Blitz
Zontar: The Thing from Venus,1967,1967,3.1,"A young scientist who helps a lone alien from Venus, finds out it wants to destroy man.",Larry Buchanan,"['Larry Buchanan', 'Hillman Taylor']","['John Agar', 'Susan Bjurman', 'Tony Huston', 'Pat Delaney', 'Neil Fletcher', 'Warren Hammack', 'Colleen Carr', 'Jeff Alexander', 'Bill Thurman', 'Andrew Traister', 'Jonathan Ledford', 'George Edgley', 'Carol Gilley', 'Bertha Holmes']",Larry Buchanan
Jonah Hex,2010,2010,4.7,"The U.S. military makes a scarred bounty hunter with warrants on his own head an offer he cannot refuse: in exchange for his freedom, he must stop a terrorist who is ready to unleash Hell on Earth.",Jimmy Hayward,"['Jimmy Hayward', 'Mark Neveldine']","['Josh Brolin', 'Megan Fox', 'John Malkovich', 'Michael Fassbender', 'Will Arnett', 'John Gallagher Jr.', 'Tom Wopat', 'Michael Shannon', 'Wes Bentley', 'Julia Jones', 'Luke James Fleischmann', 'Rio Hackford', 'David Jensen', 'Billy Blair', 'Sean Boyd', 'John McConnell', 'Jackson Townsend', 'T.J. Toups']",Jimmy Hayward
The Expendables 3,2014,2014,6.1,"Barney augments his team with new blood for a personal battle: to take down Conrad Stonebanks, the Expendables co-founder and notorious arms trader who is hell bent on wiping out Barney and every single one of his associates.",Patrick Hughes,"['Patrick Hughes', 'Sylvester Stallone']","['Sylvester Stallone', 'Jason Statham', 'Jet Li', 'Antonio Banderas', 'Harrison Ford', 'Arnold Schwarzenegger', 'Mel Gibson', 'Wesley Snipes', 'Dolph Lundgren', 'Randy Couture', 'Terry Crews', 'Kelsey Grammer', 'Glen Powell', 'Victor Ortiz', 'Ronda Rousey', 'Kellan Lutz', 'Ivan Kostadinov', 'Robert Davi']",Patrick Hughes
Let's Be Cops,2014,2014,6.4,"Two struggling pals dress as police officers for a costume party and become neighborhood sensations. But when these newly-minted ""heroes"" get tangled in a real life web of mobsters and dirty detectives, they must put their fake badges on the line.",Luke Greenfield,"['Luke Greenfield', 'Luke Greenfield']","['Jake Johnson', 'Damon Wayans Jr.', 'Rob Riggle', 'Nina Dobrev', ""James D'Arcy"", 'Keegan-Michael Key', 'Andy Garcia', 'Jonathan Lajoie', 'Tom Mardirosian', 'Natasha Leggero', 'Rebecca Koon', 'Joshua Ormond', 'L. Warren Young', 'Nelson Bonilla', 'Brian Oerly', 'Jeff Chase', 'Alec Rayme', 'Randy Havens']",Luke Greenfield
The Ringer,2005,2005,5.8,A young guy's only option to erase a really bad debt is to rig the Special Olympics by posing as a contestant.,Barry W. Blaustein,"['Barry W. Blaustein', 'Ricky Blitt']","['Johnny Knoxville', 'Katherine Heigl', 'Brian Cox', 'Jed Rees', 'Bill Chott', 'Edward Barbanell', 'Leonard Earl Howze', 'Geoffrey Arend', 'John Taylor', 'Luis Avalos', 'Leonard Flowers', 'Zen Gesner', 'Steve Levy', 'Alcides Dias', 'Mike Cerrone', 'Terry Funk', 'Janna Ambort', 'Bo Kane']",Barry W. Blaustein
Ride Along,2014,2014,6.1,"Security guard Ben must prove himself to his girlfriend's brother, top police officer James. He rides along James on a 24-hour patrol of Atlanta.",Tim Story,"['Tim Story', 'Greg Coolidge']","['Ice Cube', 'Kevin Hart', 'Tika Sumpter', 'John Leguizamo', 'Bruce McGill', 'Bryan Callen', 'Laurence Fishburne', 'Dragos Bucur', 'Gary Owen', 'Jacob Latimore', 'Jay Pharoah', 'Benjamin Flores Jr.', 'Greg Rementer', 'Eric Benson', 'Anna House', 'Jasmine Burke', 'Julie Gribble', 'John Kap']",Tim Story
To Rome with Love,2012,2012,6.3,"The lives of some visitors and residents of Rome and the romances, adventures and predicaments they get into.",Woody Allen,"['Woody Allen', 'Woody Allen']","['Woody Allen', 'Penélope Cruz', 'Jesse Eisenberg', 'Elliot Page', 'Pierluigi Marchionne', 'Flavio Parenti', 'Alison Pill', 'Alessandro Tiberi', 'Alessandra Mastronardi', 'Alec Baldwin', 'Carol Alt', 'David Pasquesi', 'Lynn Swanson', 'Roberto Benigni', 'Monica Nappo', 'Fabio Armiliato', 'Corrado Fortuna', 'Margherita Vicario']",Woody Allen
Good Times,1967,1967,4.5,Sonny and Cher spoof many Hollywood classic movie scenes.,William Friedkin,"['William Friedkin', 'Tony Barrett']","['Sonny Bono', 'Cher', 'Sonny & Cher', 'George Sanders', 'Norman Alden', 'Larry Duran', 'Kelly Thordsen', 'Lennie Weinrib', 'Peter Robbins', 'Edy Williams', 'China Lee', 'Diane Haggerty', 'James Flavin', 'Phil Arnold', 'Hank Worden', 'Morris Buchanan', 'Charles Smith', 'John Cliff']",William Friedkin
Deal of the Century,1983,1983,4.6,"A small time arms dealer in South America to sell weapons to the revolutionaries, winds up negotiating the sale of an experimental plane to the nation's dictator.",William Friedkin,"['William Friedkin', 'Paul Brickman']","['Chevy Chase', 'Sigourney Weaver', 'Gregory Hines', 'Vince Edwards', 'William Marquez', 'Eduardo Ricard', 'Richard Herd', 'Graham Jarvis', 'Wallace Shawn', 'Randi Brooks', 'Ebbe Roe Smith', 'Richard Libertini', 'J.W. Smith', 'Carmencristina Moreno', 'Charles Levin', 'Pepe Serna', 'Wilfredo Hernández', 'John Davey']",William Friedkin
Steekspel,2012,2012,6.1,"During his 50th birthday party thrown by his wife, Remco's life takes a turn for the worse: His business partners are scheming behind his back to sell him out, and his former mistress shows up pregnant.",Paul Verhoeven,"['Paul Verhoeven', 'Kim van Kooten']","['Peter Blok', 'Robert de Hoog', 'Sallie Harmsen', 'Duy Huynh', 'Gaite Jansen', 'Ricky Koole', 'Carolien Spoor', 'Jochum ten Haaf', 'Pieter Tiddens', 'Ronald van Elderen', 'Ab Zagt']",Paul Verhoeven
Ali G Indahouse,2002,2002,6.2,"Ali G unwittingly becomes a pawn in the Chancellor's plot to overthrow the Prime Minister of Great Britain. However, Ali is embraced by the nation as a voice of the youth, making the PM and his government more popular than ever.",Mark Mylod,"['Mark Mylod', 'Sacha Baron Cohen']","['Sacha Baron Cohen', 'Emilio Rivera', 'Gina La Piana', 'Dana de Celis', 'Dominic Delesilva', 'Jacqueline Castro', 'Jesse Acosta', 'Mário Aguilar', 'Gary Baxley', 'Carlos Ayala', 'John Estrada', 'David Follosco', 'Gerald Gonzales', 'Manny Jimenez Sr.', 'Robert Jimenez', 'George Lopez', 'Manny Perez', 'Magdaleno Robles Jr.']",Mark Mylod
Passion,2012,2012,5.3,The rivalry between the manipulative boss of an advertising agency and her talented protégée escalates from stealing credit to public humiliation to murder.,Brian De Palma,"['Brian De Palma', 'Brian De Palma']","['Rachel McAdams', 'Noomi Rapace', 'Karoline Herfurth', 'Paul Anderson', 'Dominic Raacke', 'Rainer Bock', 'Benjamin Sadler', 'Michael Rotschopf', 'Max Urlacher', 'Jörg Pintsch', 'Trystan Pütter', 'Patrick Heyn', 'Carlo Castro', 'Melissa Holroyd', 'Ian T. Dickinson', 'Gernot Alwin Kunert', 'Katrin Pollitt', 'Frank Witter']",Brian De Palma
Praying with Anger,1992,1992,4.5,"An alienated, Americanized teenager of East Indian heritage is sent back to India where he discovers not only his roots but a lot about himself.",M. Night Shyamalan,"['M. Night Shyamalan', 'M. Night Shyamalan']","['M. Night Shyamalan', 'Mike Muthu', 'K. Subramanian', 'Arun Balachandran', 'Richa Ahuja Badami', 'Christabal Howie', 'Sushma Ahuja', 'Apajit Singh', 'S.K. Veeragavan', 'S.N. Parvathi', 'S.M. Sivakumar', 'K. Karthik', 'R. Vijay Kumar', 'Vinodh', 'N.R. Santhanam', 'S. Sundar', 'V.L. Narasimhan', 'C. Kalidass']",M. Night Shyamalan
Aria,1987,1987,5.7,"10 short films by 10 different directors, set to arias by different composers.",Robert Altman,"['Robert Altman', 'Bruce Beresford']","['John Hurt', 'Theresa Russell', 'Stephanie Lane', 'Roy Hyatt', 'Sevilla Delofski', 'Ruth Halliday', 'Arthur Cox', 'Dennis Holmes', 'Paul Brightwell', 'Frank Baker', 'Christopher Hunter', 'Nicola Swain', 'Jackson Kyle', 'Marianne McLoughlin', 'Marion Peterson', 'Valérie Allain', 'Jacques Neuville', 'Luke Corre']",Robert Altman
The Appointment,1969,1969,5.3,The lawyer Federico Fendi has reasons to believe that his wife Carla in secret is Rome's highest paid prostitute.,Sidney Lumet,"['Sidney Lumet', 'Antonio Leonviola']","['Omar Sharif', 'Anouk Aimée', 'Didi Perego', 'Fausto Tozzi', 'Gigi Proietti', 'Paola Barbara', 'Inna Alexeievna', 'Ennio Balbo', 'Daniela Calvino', 'Ermelinda De Felice', 'Angelo Infanti', 'Serena Michelotti', 'Monica Pardo', 'Rodolfo Valadier', 'Lotte Lenya', 'Gabriella Boccardo', 'Sandro Dori', 'Cyrus Elias']",Sidney Lumet
The Pleasure Principle,1991,1991,5.9,"Part relationship drama and part sex comedy follows a middle-aged man who loves women and sex and can't stop cheating. He gets a divorce from his angry wife, but then cheats on his lovers. However, one of them decides to get even.",David Cohen,"['David Cohen', 'David Cohen']","['Peter Firth', 'Chloe Davies', 'Haydn Gwynne', 'Lysette Anthony', 'Sara Mair-Thomas', 'Sarah Campbell', 'Liam McDermott', 'Stephen Finlay', 'Lynsey Baxter', 'Ian Hogg', 'Francesca Folan', 'Gordon Warnecke', 'Cliff Parisi', 'Mark Carroll', 'Chris Knowles', 'Lauren Tauben', 'Patrick Tidmarsh', 'Tim Jenner']",David Cohen
Bates Motel,1987,1987,3.7,"A mentally disturbed man, who roomed with the late Norman Bates at the state lunatic asylum, inherits the legendary Bates Motel after the death of Norman and tries to fix it up to make it a respectable business.",Richard Rothstein,"['Richard Rothstein', 'Richard Rothstein']","['Bud Cort', 'Lori Petty', 'Moses Gunn', 'Gregg Henry', 'Khrystyne Haje', 'Jason Bateman', 'Kerrie Keane', 'Robert Picardo', 'Lee de Broux', 'Kurt Paul', 'Marla Frumkin', 'Rick Lieberman', 'Timothy Fall', 'Kelly Ames', 'Peter Dobson', 'Paula Irvine', 'Scott St. James', 'Greg Finley']",Richard Rothstein
Chasing Mavericks,2012,2012,7.1,"When young Jay Moriarity discovers that the mythic Mavericks surf break, one of the biggest waves on Earth, exists just miles from his Santa Cruz home, he enlists the help of local legend Frosty Hesson to train him to survive it.",Michael Apted,"['Michael Apted', 'Curtis Hanson']","['Jonny Weston', 'Gerard Butler', 'Elisabeth Shue', 'Abigail Spencer', 'Leven Rambin', 'Greg Long', 'Peter Mel', 'Zach Wormhoudt', 'Devin Crittenden', 'Taylor Handley', 'Cooper Timberline', 'Maya Raines', 'Harley Graham', 'Jenica Bergere', 'James Anthony Cotton', 'Channon Roe', 'Thomas Freil', 'L. Peter Callender']",Michael Apted
The Ward,2010,2010,5.5,An institutionalized young woman becomes terrorized by a ghost.,John Carpenter,"['John Carpenter', 'Michael Rasmussen']","['Amber Heard', 'Mamie Gummer', 'Danielle Panabaker', 'Laura-Leigh', 'Lyndsy Fonseca', 'Mika Boorem', 'Jared Harris', 'Sali Sayler', 'Susanna Burney', 'D.R. Anderson', 'Sean Cook', 'Jillian Kramer', 'Mark Chamberlin', 'Andrea Petty', 'Tracy Schornick', 'Kent Kimball', ""Joseph O'Shaugnessy"", 'Patrick Treadway']",John Carpenter
1492: Conquest of Paradise,1992,1992,6.4,Christopher Columbus' discovery of the Americas and the effect this has on the indigenous people.,Ridley Scott,"['Ridley Scott', 'Rose Bosch']","['Gérard Depardieu', 'Armand Assante', 'Sigourney Weaver', 'Loren Dean', 'Ángela Molina', 'Fernando Rey', 'Michael Wincott', 'Tchéky Karyo', 'Kevin Dunn', 'Frank Langella', 'Mark Margolis', 'Kario Salem', 'Billy L. Sullivan', 'John Heffernan', 'Arnold Vosloo', 'Steven Waddington', 'Fernando Guillén Cuervo', 'José Luis Ferrer']",Ridley Scott
Medicine Man,1992,1992,6.0,"In the beautiful and dangerous Amazon rainforest, dissimilar people must make their choices between business, science, and love.",John McTiernan,"['John McTiernan', 'Tom Schulman']","['Sean Connery', 'Lorraine Bracco', 'José Wilker', 'Rodolfo De Alexandre', 'Francisco Tsiren Tsere Rereme', 'Elias Monteiro Da Silva', 'Edinei Maria Serrio Dos Santos', 'Bec-Kana-Re Dos Santos Kaiapo', 'Angelo Barra Moreira', 'José Lavat']",John McTiernan
HouseSitter,1992,1992,6.1,"Con artist Gwen moves into Newton's empty home without his knowledge and begins setting up house, posing as his new wife.",Frank Oz,"['Frank Oz', 'Mark Stein']","['Steve Martin', 'Goldie Hawn', 'Dana Delany', 'Julie Harris', 'Donald Moffat', 'Peter MacNicol', 'Richard B. Shull', 'Laurel Cronin', 'Roy Cooper', 'Christopher Durang', 'Heywood Hale Broun', 'Cherry Jones', 'Vasek Simek', 'Suzanne Whang', 'Mary Klug', 'Alice Duffy', 'Ken Cheeseman', 'Tony V.']",Frank Oz
