title,year,certificate,rating,description,director,writer,actors,genres
Victor Frankenstein,2015,2015,5.9,"Told from Igor's perspective, we see the troubled young assistant's dark origins, his redemptive friendship with the young medical student Viktor Von Frankenstein, and become eyewitnesses to the emergence of how Frankenstein became the man - and the legend - we know today.",Paul McGuigan,"['Paul McGuigan', 'Max Landis']","['Daniel Radcliffe', 'James McAvoy', 'Jessica Brown Findlay', 'Andrew Scott', 'Bronson Webb', 'Daniel Mays', 'Spencer Wilding', 'Robin Pearce', 'Callum Turner', 'Di Botcher', 'Eve Ponsonby', 'Will Keen', 'Louise Brealey', 'Nicola Sloane', 'Freddie Fox', 'Charles Dance', 'Alistair Petrie', 'Neil Bell']",Paul McGuigan
American Ultra,2015,2015,6.1,A stoner - who is in fact a government agent - is marked as a liability and targeted for extermination. But he's too well-trained and too high for them to handle.,Nima Nourizadeh,"['Nima Nourizadeh', 'Max Landis']","['Jesse Eisenberg', 'Kristen Stewart', 'Connie Britton', 'John Leguizamo', 'Topher Grace', 'Walton Goggins', 'Bill Pullman', 'Tony Hale', 'Stuart Greer', 'Michael Papajohn', 'Monique Ganderton', 'Nash Edgerton', ""Paul Andrew O'Connor"", 'Freddie Poole', 'Ilram Choi', 'James Bendishaw', 'Lavell Crawford', 'Sam Malone']",Nima Nourizadeh
Compliance,2012,2012,6.4,"A normal Friday service at a fast food restaurant becomes interrupted by a police officer who claims an employee stole from a customer, but something more sinister is going on.",Craig Zobel,"['Craig Zobel', 'Craig Zobel']","['Ann Dowd', 'Dreama Walker', 'Pat Healy', 'Bill Camp', 'Matt Servitto', 'Philip Ettinger', 'Ashlie Atkinson', 'Nikiya Mathis', 'Ralph Rodriguez', 'Stephen Payne', 'Amelia Fowler', 'John Merolla', 'James McCaffrey', 'Desmin Borges', 'Matt Skibiak', 'Maren McKee', 'Raymond McAnally', 'George Asatrian']",Craig Zobel
Rampage,1987,1987,6.2,"Liberal district attorney decides to seek the death penalty for a man who slaughtered a family at Christmastime, then drank their blood. He escapes, though, and starts killing again.",William Friedkin,"['William Friedkin', 'William P. Wood']","['Michael Biehn', 'Alex McArthur', 'Nicholas Campbell', 'Deborah Van Valkenburgh', 'John Harkins', 'Art LaFleur', 'Billy Green Bush', 'Royce D. Applegate', 'Grace Zabriskie', 'Carlos Palomino', 'Roy London', 'Donald Hotton', 'Andy Romano', 'Patrick Cronin', 'Roger Nolan', 'Rosalyn Marshall', 'Whit Hertford', 'David A. Kimball']",William Friedkin
Crazy Mama,1975,1975,5.5,"A family of three women, and their male companions, enter a life of crime in a desperate attempt to buy back their family farm, which was taken off of them by corrupt bankers a couple of decades before.",Jonathan Demme,"['Jonathan Demme', 'Robert Thom']","['Cloris Leachman', 'Stuart Whitman', 'Ann Sothern', 'Jim Backus', 'Don Most', 'Linda Purl', 'Bryan Englund', 'Merie Earle', 'Sally Kirkland', 'Clint Kimbrough', 'Dick Miller', 'Carmen Argenziano', 'Harry Northup', 'Ralph James', 'Dinah Englund', 'Rob Reece', 'Mickey Fox', 'John Aprea']",Jonathan Demme
Lionheart,1990,1990,6.2,An Ex-French Soldier begins participating in underground street fights in order to make money for his brother's family.,Sheldon Lettich,"['Sheldon Lettich', 'Stefani Warren']","['Jean-Claude Van Damme', 'Harrison Page', 'Deborah Rennard', 'Lisa Pelikan', 'Ashley Johnson', 'Brian Thompson', 'Vojislav Govedarica', 'Michel Qissi', 'George McDaniel', 'Eric Karson', 'Ash Adams', 'William T. Amos', 'Roz Bosley', 'Dennis Rucker', 'Billy Blanks', 'Stefanos Miltsakakis', 'Lew Hopson', 'Sebastian Massa']",Sheldon Lettich
Someone to Watch Over Me,1987,1987,6.1,A married New York cop falls for the socialite murder witness he's been assigned to protect.,Ridley Scott,"['Ridley Scott', 'Howard Franklin']","['Tom Berenger', 'Mimi Rogers', 'Lorraine Bracco', 'Jerry Orbach', 'John Rubinstein', 'Andreas Katsulas', 'Tony DiBenedetto', 'James E. Moriarty', 'Mark Moses', 'Daniel Hugh Kelly', 'Harley Cross', 'Joanne Baron', 'Anthony Bishop', 'David Berman', 'Sharon K. Brecke', 'Peter Carew', 'Christopher Cass', 'Jim Paul Eilers']",Ridley Scott
12 Rounds,2009,2009,5.6,"Detective Danny Fisher discovers his girlfriend has been kidnapped by an ex-con tied to Fisher's past, and he'll have to successfully complete 12 challenges in order to secure her safe release.",Renny Harlin,"['Renny Harlin', 'Daniel Kunka']","['John Cena', 'Ashley Scott', 'Aidan Gillen', 'Steve Harris', 'Brian White', 'Gonzalo Menendez', 'Taylor Cole', 'Kyle Clements', 'Peter Navy Tuiasosopo', 'Travis Davis', 'Nick Gomez', 'Brian Decaro', 'Rosalind Rubin', 'Billy Slaughter', 'Kim Collins', 'Lara Grice', 'Wayne Ferrara', 'Douglas M. Griffin']",Renny Harlin
Maze Runner: The Scorch Trials,2015,2015,6.3,"After having escaped the Maze, the Gladers now face a new set of challenges on the open roads of a desolate landscape filled with unimaginable obstacles.",Wes Ball,"['Wes Ball', 'T.S. Nowlin']","[""Dylan O'Brien"", 'Kaya Scodelario', 'Thomas Brodie-Sangster', 'Giancarlo Esposito', 'Ki Hong Lee', 'Dexter Darden', 'Alexander Flores', 'Jacob Lofland', 'Rosa Salazar', 'Patricia Clarkson', 'Aidan Gillen', 'Terry Dale Parks', 'Kathryn Smith-McGlynn', 'Lili Taylor', 'Barry Pepper', 'Nathalie Emmanuel', 'Matthew T. Metzler', 'Alan Tudyk']",Wes Ball
Psycho IV: The Beginning,1990,1990,5.4,Norman Bates recalls his childhood with his abusive mother while fearing his unborn child will inherit his split personality disorder.,Mick Garris,"['Mick Garris', 'Joseph Stefano']","['Anthony Perkins', 'CCH Pounder', 'Henry Thomas', 'Olivia Hussey', 'Warren Frost', 'Donna Mitchell', 'Tom Schuster', 'Sharen Camille', 'Bobbi Evors', 'John Landis', 'Kurt Paul', 'Louis Crume', 'Cynthia Garris', 'Doreen Chalmers', 'Alice Hirson', 'Ryan Finnegan', ""Peggy O'Neal"", 'Bob Barnes']",Mick Garris
