title,year,certificate,rating,description,director,writer,stars,actors,genres
Life Itself,2018,2018,6.8,"As a young New York City couple goes from college romance to marriage and the birth of their first child, the unexpected twists of their journey create reverberations that echo over continents and through lifetimes.",Awards,Learn more about contributing,Stars,Oscar Isaac,Dan Fogelman
Father Figures,2017,2017,5.5,"Upon learning that their mother has been lying to them for years about their allegedly deceased father, two fraternal twin brothers hit the road in order to find him.",Awards,Learn more about contributing,Stars,Owen Wilson,Lawrence Sher
Rock Dog,2016,2016,5.9,"When a radio falls from the sky into the hands of a wide-eyed Tibetan Mastiff, he leaves home to fulfill his dream of becoming a musician, setting into motion a series of completely unexpected events.",Awards,Writers,Stars,Luke Wilson,Ash Brannon
Killing Gunther,2017,2017,4.8,"A group of eccentric assassins are fed up with Gunther, the world's greatest hitman, and decide to kill him, but their plan turns into a series of bungled encounters as Gunther seems to always be one step ahead.",Trivia,Learn more about contributing,Stars,Taran Killam,Taran Killam
The Drummer and the Keeper,2017,2017,7.0,An unlikely friendship develops between the bipolar drummer of a rock band and an institutionalized teen suffering from Asperger's syndrome.,Awards,Learn more about contributing,Stars,Dermot Murphy,Nick Kelly
The Green Berets,1968,1968,5.6,Col. Mike Kirby picks two teams of crack Green Berets for a mission in South Vietnam. First off is to build and control a camp that is trying to be taken by the enemy the second mission is to kidnap a North Vietnamese General.,Awards,Learn more about contributing,Stars,John Wayne,Ray Kellogg
The Sea Gull,1968,1968,6.8,"Aging actress Irina Arkadina pays summer visits to her brother Pjotr Nikolayevich Sorin and her son Konstantin on a country estate. On one occasion, she brings along Boris Trigorin, a successful novelist. Nina, a free and innocent girl on a neighboring estate, falls in love with Trigorin. As he lightly consumes and rejects her, so the actress consumed and rejected her... Read all",Trivia,Learn more about contributing,Stars,James Mason,Sidney Lumet
Watchers,1988,1988,5.3,"A boy takes in a stray dog, later discovering that it is an ultra-intelligent runaway being stalked by a dangerous creature from the same genetic research lab.",Awards,Learn more about contributing,Stars,Corey Haim,Jon Hess
My Little Pony: The Movie,2017,2017,6.0,"After a dark force conquers Canterlot, the Mane 6 embark on an unforgettable journey beyond Equestria where they meet new friends and exciting challenges on a quest to use the magic of friendship to save their homeland.",Awards,Writers,Stars,Emily Blunt,Jayson Thiessen
Tom & Jerry,2021,2021,5.2,"A chaotic battle ensues between Jerry Mouse, who has taken refuge in the Royal Gate Hotel, and Tom Cat, who is hired to drive him away before the day of a big wedding arrives.",Awards,,Stars,Chloë Grace Moretz,Tim Story
Dementia 13,1963,1963,5.7,"Shocked by the death of her spouse, a scheming widow hatches a bold plan to get her hands on the inheritance, unaware that she is targeted by an axe-wielding murderer who lurks in the family's estate. What mystery shrouds the noble house?",Trivia,Learn more about contributing,Stars,William Campbell,Francis Ford Coppola
Bogus,1996,1996,5.3,"Recently orphaned, a young boy is taken in by his godmother who is shocked to realize that she can see the boy's imaginary friend: a flamboyant, French magician named Bogus.",Awards,Learn more about contributing,Stars,Whoopi Goldberg,Norman Jewison
White Squall,1996,1996,6.6,Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.,Awards,Learn more about contributing,Stars,Jeff Bridges,Ridley Scott
Buddy Buddy,1981,1981,6.5,"During a high profile Mafia testimony case in California's Riverside County, a hired killer checks into a hotel room near the courthouse, while his depressed next-door neighbor wants to commit suicide due to marital problems.",Awards,Learn more about contributing,Stars,Jack Lemmon,Billy Wilder
Number Seventeen,1932,1932,5.7,"A gang of thieves gather at a safe house following a robbery, but a detective is on their trail.",Trivia,Writers,Stars,Leon M. Lion,Alfred Hitchcock
Fear and Desire,1953,1953,5.4,Four soldiers trapped behind enemy lines must confront their fears and desires.,Awards,Learn more about contributing,Stars,Frank Silvera,Stanley Kubrick
Zorro: The Gay Blade,1981,1981,6.2,"Zorro, the legendary swordsman, has passed on his weapon and his sense of duty to his noble son, Diego, a dashing swashbuckler like his father. But after an injury sidelines Diego, he is forced to hand the mask over to his twin, Ramon.",Awards,Writers,Stars,George Hamilton,Peter Medak
Modern Vampires,1998,1998,4.5,A borderline fascistic Dr. Van Helsing unwittingly hires crack smoking gang-bangers to pursue the decadent vampires who secretly control Hollywood and the United States.,Awards,Learn more about contributing,Stars,Casper Van Dien,Richard Elfman
The Hand,1981,1981,5.5,"A comic book artist loses his hand, which in turn takes on a murderous life of its own.",Awards,Learn more about contributing,Stars,Michael Caine,Oliver Stone
Get to Know Your Rabbit,1972,1972,5.3,"A young business executive hates the direction his life is taking, and decides to make some changes. He becomes a struggling (but happy) tap-dancing magician. His old boss is financially ruined, but finds a way to bounce back by commercialising his career change.",Awards,Learn more about contributing,Stars,Tom Smothers,Brian De Palma
My Giant,1998,1998,5.0,"Billy Crystal plays a Hollywood agent who stumbles upon Max, a giant living in Romania, and tries to get him into the movies.",Trivia,Learn more about contributing,Stars,Billy Crystal,Michael Lehmann
Everyone Says I Love You,1996,1996,6.7,A New York girl sets her father up with a beautiful woman in a troubled marriage while her stepsister gets engaged.,Awards,Learn more about contributing,Stars,Woody Allen,Woody Allen
My Giant,1998,1998,5.0,"Billy Crystal plays a Hollywood agent who stumbles upon Max, a giant living in Romania, and tries to get him into the movies.",Trivia,Learn more about contributing,Stars,Billy Crystal,Michael Lehmann
Stereo (Tile 3B of a CAEE Educational Mosaic),1969,1969,5.1,"Sometime in the future, the Canadian Academy for Erotic Inquiry is investigating the theories of parapsychologist Luther Stringfellow. Seven young adults volunteer to submit to a form of brain surgery that removes their power of speech but increases their power for telepathic communication. An unseen group of students observes the results. As the experiment progresses... Read all",Trivia,Learn more about contributing,Stars,Ronald Mlodzik,David Cronenberg
Avanti!,1972,1972,7.2,A successful businessman goes to Italy to arrange for the return of his tycoon father's body only to discover dad died with his long-time mistress.,Awards,Learn more about contributing,Stars,Jack Lemmon,Billy Wilder
Che?,1972,1972,5.6,"During her Italian vacation, a young and beautiful American tourist finds herself as a guest in a coastal villa inhabited by a bunch of odd people.",Trivia,Learn more about contributing,Stars,Marcello Mastroianni,Roman Polanski
Return of the Killer Tomatoes!,1988,1988,5.2,Crazy old Professor Gangreen has developed a way to make tomatoes look human for a second invasion.,Trivia,Writers,Stars,Anthony Starke,John De Bello
Redacted,2007,2007,6.1,The devastating reconstruction of the rape and murder of a 15-year-old Iraqi girl by American soldiers in Samarra in 2006.,Awards,Learn more about contributing,Stars,Patrick Carroll,Brian De Palma
Ghost Rider,2007,2007,5.2,"When motorcycle rider Johnny Blaze sells his soul to the Devil to save his father's life, he is transformed into the Ghost Rider, the Devil's own bounty hunter, and is sent to hunt down sinners.",Awards,,Stars,Nicolas Cage,Mark Steven Johnson
"Everything, Everything",2017,2017,6.3,A teenager who's spent her whole life confined to her home falls for the boy next door.,Awards,Learn more about contributing,Stars,Amandla Stenberg,Stella Meghie
Cousins,1989,1989,6.3,Two couples go to a mutual friend's wedding and end up swapping partners.,Awards,Learn more about contributing,Stars,Ted Danson,Joel Schumacher
Flawless,1999,1999,6.4,"An ultraconservative security guard suffers a debilitating stroke and is assigned to a rehabilitative program that includes singing lessons, with the drag queen next door.",Awards,Learn more about contributing,Stars,Robert De Niro,Joel Schumacher
Home Again,2017,2017,5.8,Life for a single mom in Los Angeles takes an unexpected turn when she allows three young guys to move in with her.,Awards,Learn more about contributing,Stars,Reese Witherspoon,Hallie Meyers-Shyer
Do Not Disturb,1999,1999,4.9,Do Not Disturb tells the story of an American family in Amsterdam whose mute 10 year old daughter witnesses a murder. The murderers chase the child through nightly Amsterdam.,Quotes,Learn more about contributing,Stars,William Hurt,Dick Maas
The January Man,1989,1989,5.5,"Two years after being forced out of NYPD, quirky Nick is rehired by the mayor to catch a serial killer after the 11th murder of a woman.",Trivia,Learn more about contributing,Stars,Kevin Kline,Pat O'Connor
Big Business,1988,1988,6.4,Two couples of sisters from New York and from the countryside discover that they are connected in an incredible way.,Awards,Learn more about contributing,Stars,Bette Midler,Jim Abrahams
The 13th Warrior,1999,1999,6.6,"A man, having fallen in love with the wrong woman, is sent by the sultan himself on a diplomatic mission to a distant land as an ambassador. Stopping at a Viking village port to restock on supplies, he finds himself unwittingly embroiled in a quest to banish a mysterious threat in a distant Viking land.",Awards,Learn more about contributing,Stars,Antonio Banderas,John McTiernan
Instinct,1999,1999,6.5,"When noted anthropologist Dr. Ethan Powell, who left society to live in the jungle is imprisoned for murder, it's up to young psychiatrist Theo Caulder to get through to him.",Awards,Learn more about contributing,Stars,Anthony Hopkins,Jon Turteltaub
How to Be a Latin Lover,2017,2017,6.0,"Finding himself dumped after twenty-five years of marriage, a man who made a career of seducing rich older women must move in with his estranged sister, where he begins to learn the value of family.",Awards,Learn more about contributing,Stars,Eugenio Derbez,Ken Marino
Wonder Wheel,2017,2017,6.2,"On Coney Island in the 1950s, a lifeguard tells the story of a middle-aged carousel operator, his beleaguered wife and the visitor who turns their lives upside-down.",Awards,Learn more about contributing,Stars,Justin Timberlake,Woody Allen
Halloween 4: The Return of Michael Myers,1988,1988,5.8,"Ten years after his original massacre, the invalid Michael Myers awakens on Halloween Eve and returns to Haddonfield to kill his seven-year-old niece. Can Dr. Loomis stop him?",Awards,Writers,Stars,Donald Pleasence,Dwight H. Little
The Snowman,2017,2017,5.1,Detective Harry Hole investigates the disappearance of a woman whose scarf is found wrapped around an ominous-looking snowman.,Awards,Writers,Stars,Michael Fassbender,Tomas Alfredson
Ballerina,2016,2016,6.7,"An orphan girl dreams of becoming a ballerina and flees her rural Brittany for Paris, where she passes for someone else and accedes to the position of pupil at the Grand Opera House.",Directors,Learn more about contributing,Stars,Elle Fanning,Eric Summer
The Emperor Waltz,1948,1948,6.1,A brash American gramophone salesman tries to get Emperor Franz Joseph's endorsement in turn-of-the-century Austria.,Nominated for 2 Oscars,Learn more about contributing,Stars,Bing Crosby,Billy Wilder
Tulip Fever,2017,2017,6.2,An artist falls for a young married woman while he's commissioned to paint her portrait during the Tulip mania of seventeenth century Amsterdam.,Awards,Learn more about contributing,Stars,Alicia Vikander,Justin Chadwick
On the Road,2016,2016,5.9,An intimate look at life on the road for the band Wolf Alice as they tour Great Britain.,Awards,Stars,"Production, box office & more at IMDbPro",Shirley Henderson,Michael Winterbottom
The Mountain Between Us,2017,2017,6.4,"Stranded after a tragic plane crash, two strangers must forge a connection to survive the extreme elements of a remote snow-covered mountain. When they realize help is not coming, they embark on a perilous journey across the wilderness.",Awards,Learn more about contributing,Stars,Kate Winslet,Hany Abu-Assad
Going in Style,2017,2017,6.6,"Desperate to pay the bills and come through for their loved ones, three lifelong pals risk it all by embarking on a daring bid to knock off the very bank that absconded with their money.",Trivia,Learn more about contributing,Stars,Michael Caine,Zach Braff
D'après une histoire vraie,2017,2017,5.7,"A writer goes through a tough period after the release of her latest book, as she gets involved with an obsessive admirer.",Awards,Learn more about contributing,Stars,Emmanuelle Seigner,Roman Polanski
Crocodile Dundee II,1988,1988,5.7,Australian outback expert protects his New York love from gangsters who've followed her down under.,Awards,,Stars,Paul Hogan,John Cornell
Garbo Talks,1984,1984,6.4,The son of a woman dying of a brain tumor tries to fulfill his mother's last wish: to meet Greta Garbo.,Awards,Learn more about contributing,Stars,Anne Bancroft,Sidney Lumet
Collide,2016,2016,5.6,"An American backpacker gets involved with a ring of drug smugglers as their driver, though he winds up on the run from his employers across Cologne high-speed Autobahn.",Awards,Learn more about contributing,Stars,Nicholas Hoult,Eran Creevy
The Book of Henry,2017,2017,6.5,"With instructions from her genius son's carefully crafted notebook, a single mother sets out to rescue a young girl from the hands of her abusive stepfather.",Awards,Learn more about contributing,Stars,Naomi Watts,Colin Trevorrow
Piranha Part Two: The Spawning,1981,1981,3.7,"A scuba diving instructor, her biochemist boyfriend, and her police chief ex-husband try to link a series of bizarre deaths to a mutant strain of piranha fish whose lair is a sunken freighter ship off a Caribbean island resort.",Awards,Learn more about contributing,Stars,Tricia O'Neil,James Cameron
The Nun,2018,2018,5.3,A priest with a haunted past and a novice on the threshold of her final vows are sent by the Vatican to investigate the death of a young nun in Romania and confront a malevolent force in the form of a demonic nun.,Awards,Learn more about contributing,Stars,Demián Bichir,Corin Hardy
Bye Bye Braverman,1968,1968,5.6,"Four Jewish intellectuals carpool to the funeral of their old friend Leslie Braverman, who died suddenly at age 41.",Trivia,Learn more about contributing,Stars,George Segal,Sidney Lumet
Dog Days,2018,2018,6.2,A group of interconnected people in Los Angeles are brought together by their lovely canine counterparts.,Awards,Learn more about contributing,Stars,Nina Dobrev,Ken Marino
The Ewok Adventure,1984,1984,5.3,"Wicket the Ewok and his friends agree to help two shipwrecked human children, Mace and Cindel, on a quest to find their parents.",Won 1 Primetime Emmy,,Stars,Eric Walker,John Korty
Second Act,2018,2018,5.8,A big box store worker reinvents her life and her life-story and shows Madison Avenue what street smarts can do.,Awards,Learn more about contributing,Stars,Jennifer Lopez,Peter Segal
The 15:17 to Paris,2018,2018,5.3,Three courageous young Americans prevent a terrorist attack on a train bound for Paris.,Awards,Writers,Stars,Alek Skarlatos,Clint Eastwood
O.C. and Stiggs,1985,1985,5.2,"O.C. and Stiggs aren't your average unhappy teenagers. They not only despise their suburban surroundings, they plot against it. They seek revenge against the middle class Schwab family, who embody all they detest: middle class.",Trivia,Learn more about contributing,Stars,Daniel Jenkins,Robert Altman
Book Club,2018,2018,6.1,Four lifelong friends have their lives forever changed after reading 50 Shades of Grey in their monthly book club.,Awards,Learn more about contributing,Stars,Diane Keaton,Bill Holderman
Death Race,2008,2008,6.4,Ex-con Jensen Ames is forced by the warden of a notorious prison to compete in our post-industrial world's most popular sport: a car race in which inmates must brutalize and kill one another on the road to victory.,Awards,Writers,Stars,Jason Statham,Paul W.S. Anderson
Hunter Killer,2018,2018,6.6,"An untested American submarine captain teams with U.S. Navy Seals to rescue the Russian president, who has been kidnapped by a rogue general.",Awards,Writers,Stars,Gerard Butler,Donovan Marsh
Maze Runner: The Death Cure,2018,2018,6.2,"Young hero Thomas embarks on a mission to find a cure for a deadly disease known as ""The Flare"".",Awards,,Stars,Dylan O'Brien,Wes Ball
Ocean's Eight,2018,2018,6.3,Debbie Ocean gathers an all-female crew to attempt an impossible heist at New York City's yearly Met Gala.,Awards,Writers,Stars,Sandra Bullock,Gary Ross
I Feel Pretty,2018,2018,5.6,"A woman struggling with insecurity wakes from a fall believing she is the most beautiful and capable woman on the planet. Her new confidence empowers her to live fearlessly, but what happens when she realizes her appearance never changed?",Awards,Learn more about contributing,Stars,Amy Schumer,Abby Kohn
The Commuter,2018,2018,6.3,An insurance salesman/ex-cop is caught up in a life-threatening conspiracy during his daily commute home.,Awards,Learn more about contributing,Stars,Liam Neeson,Jaume Collet-Serra
A Wrinkle in Time,2018,2018,4.2,"After the disappearance of her scientist father, three peculiar beings send Meg, her brother, and her friend to space in order to find him.",Awards,Learn more about contributing,Stars,Storm Reid,Ava DuVernay
The Secret Life of Bees,2008,2008,7.2,"In 1964, a teenage girl in search of the truth about her mother runs away to a small town in South Carolina and finds a family of independent women who can connect her to her past.",Awards,,Stars,Dakota Fanning,Gina Prince-Bythewood
Traffik,2018,2018,5.9,"A couple off for a romantic weekend in the mountains are accosted by a biker gang. Alone in the mountains, Brea and John must defend themselves against the gang, who will stop at nothing to protect their secrets.",Awards,Learn more about contributing,Stars,Priscilla Quintana,Deon Taylor
What Just Happened,2008,2008,5.6,Two weeks in the life of a fading Hollywood producer who's having a rough time trying to get his new picture made.,Awards,Learn more about contributing,Stars,Robert De Niro,Barry Levinson
Entebbe,2018,2018,5.8,"Inspired by the true events of the 1976 hijacking of an Air France flight en route from Tel Aviv to Paris, and the most daring rescue mission ever attempted.",Trivia,Learn more about contributing,Stars,Batsheva Dance Company,José Padilha
Hotel Transylvania 3: Summer Vacation,2018,2018,6.3,"Count Dracula and company participate in a cruise for sea-loving monsters, unaware that their boat is being commandeered by the monster-hating Van Helsing family.",Awards,Learn more about contributing,Stars,Adam Sandler,Genndy Tartakovsky
Fantastic Beasts: The Crimes of Grindelwald,2018,2018,6.5,"The second installment of the ""Fantastic Beasts"" series featuring the adventures of Magizoologist Newt Scamander.",Nominated for 2 BAFTA Awards,Learn more about contributing,Stars,Eddie Redmayne,David Yates
The Happytime Murders,2018,2018,5.4,"When the puppet cast of a '90s children's TV show begin to get murdered one by one, a disgraced LAPD detective-turned-private eye puppet takes on the case.",Awards,Learn more about contributing,Stars,Melissa McCarthy,Brian Henson
Breezy,1973,1973,6.9,"A young girl tries to find her way in life, suffering from her own naivete and sincerity.",Awards,Learn more about contributing,Stars,William Holden,Clint Eastwood
So This Is Love,1928,1928,5.4,"Jerry McGuire (William Collier Jr.) is a dress designer in love with shop-girl Hilda Jenson (Shirley Mason). But the problem is that prizefighter Spike Mullins (Johnny Walker) is also in love with Hilda. Jerry, undaunted by the obvious fact that , physically speaking, is no match for the bull-like Spike. Jerry Takes a few boxing lessons and, aided by Hilda, who delibe... Read all",Trivia,Learn more about contributing,Stars,Shirley Mason,Frank Capra
Venom,2018,2018,6.6,"A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it.",Awards,Writers,Stars,Tom Hardy,Ruben Fleischer
The Nutcracker and the Four Realms,2018,2018,5.5,A young girl is transported into a magical world of gingerbread soldiers and an army of mice.,Awards,Learn more about contributing,Stars,Mackenzie Foy,Lasse Hallström
Mile 22,2018,2018,6.1,"A small team of elite American intelligence officers, part of a top-secret tactical command unit, try to smuggle a mysterious police officer with sensitive information out of Indonesia.",Awards,,Stars,Mark Wahlberg,Peter Berg
Skyscraper,2018,2018,5.8,"A security expert must infiltrate a burning skyscraper, 225 stories above ground, when his family is trapped inside by criminals.",Awards,Learn more about contributing,Stars,Dwayne Johnson,Rawson Marshall Thurber
Gringo,2018,2018,6.1,"GRINGO, a dark comedy mixed with white-knuckle action and dramatic intrigue, explores the battle of survival for businessman Harold Soyinka (David Oyelowo) when he finds himself crossing the line from law-abiding citizen to wanted criminal.",Awards,Learn more about contributing,Stars,Joel Edgerton,Nash Edgerton
The Cloverfield Paradox,2018,2018,5.5,"Orbiting a planet on the brink of war, scientists test a device to solve an energy crisis, and end up face-to-face with a dark alternate reality.",Awards,Learn more about contributing,Stars,Gugu Mbatha-Raw,Julius Onah
Tag,2018,2018,6.5,"A small group of former classmates organize an elaborate, annual game of tag that requires some to travel all over the country.",Awards,,Stars,Jeremy Renner,Jeff Tomsic
Hell Fest,2018,2018,5.5,"A masked serial killer turns a horror-themed amusement park into his own personal playground, terrorizing a group of friends while the rest of the patrons believe that it is all part of the show.",Awards,Writers,Stars,Cynthea Mercado,Gregory Plotkin
Beyond Therapy,1987,1987,4.8,A few unusual characters and their unconventional therapists cross paths resulting in hilarious interactions.,Trivia,Learn more about contributing,Stars,Julie Hagerty,Robert Altman
Den of Thieves,2018,2018,7.0,An elite unit of the LA County Sheriff's Dept. and the state's most successful bank robbery crew clash as the outlaws plan a seemingly impossible heist on the Federal Reserve Bank.,Awards,Learn more about contributing,Stars,Gerard Butler,Christian Gudegast
The Strangers: Prey at Night,2018,2018,5.2,A family of four staying at a secluded mobile home park for the night are stalked and then hunted by three masked psychopaths.,Trivia,Learn more about contributing,Stars,Christina Hendricks,Johannes Roberts
Action Point,2018,2018,5.1,A daredevil designs and operates his own theme park with his friends.,Trivia,Writers,Stars,Johnny Knoxville,Tim Kirkby
Pacific Rim: Uprising,2018,2018,5.6,"Jake Pentecost, son of Stacker Pentecost, reunites with Mako Mori to lead a new generation of Jaeger pilots, including rival Lambert and 15-year-old hacker Amara, against a new Kaiju threat.",Awards,Writers,Stars,John Boyega,Steven S. DeKnight
Insidious: The Last Key,2018,2018,5.7,"Parapsychologist Dr. Elise Rainier faces her most fearsome and personal haunting yet, as she is drawn back to her ghostly childhood home, where the terror began.",Awards,Learn more about contributing,Stars,Lin Shaye,Adam Robitel
Rain or Shine,1930,1930,5.6,Woman inherits a traveling circus which brings financial difficulties.,Trivia,Learn more about contributing,Stars,Joe Cook,Frank Capra
The Meg,2018,2018,5.6,A group of scientists exploring the Marianas Trench encounter the largest marine predator that has ever existed - the Megalodon.,Awards,Writers,Stars,Jason Statham,Jon Turteltaub
Flight,1929,1929,6.0,A Marine flyer and his flight school mentor fall for the same beautiful nurse.,Trivia,Learn more about contributing,Stars,Jack Holt,Frank Capra
Table 19,2017,2017,5.8,"Eloise, having been relieved of maid of honor duties after being unceremoniously dumped by the best man via text, decides to attend the wedding anyway, only to find herself seated with five fellow unwanted guests at the dreaded Table 19.",Awards,Learn more about contributing,Stars,Anna Kendrick,Jeffrey Blitz
Zontar: The Thing from Venus,1967,1967,3.1,"A young scientist who helps a lone alien from Venus, finds out it wants to destroy man.",Trivia,Learn more about contributing,Stars,John Agar,Larry Buchanan
Jonah Hex,2010,2010,4.7,"The U.S. military makes a scarred bounty hunter with warrants on his own head an offer he cannot refuse: in exchange for his freedom, he must stop a terrorist who is ready to unleash Hell on Earth.",Awards,Writers,Stars,Josh Brolin,Jimmy Hayward
The Expendables 3,2014,2014,6.1,"Barney augments his team with new blood for a personal battle: to take down Conrad Stonebanks, the Expendables co-founder and notorious arms trader who is hell bent on wiping out Barney and every single one of his associates.",Awards,Writers,Stars,Sylvester Stallone,Patrick Hughes
Let's Be Cops,2014,2014,6.4,"Two struggling pals dress as police officers for a costume party and become neighborhood sensations. But when these newly-minted ""heroes"" get tangled in a real life web of mobsters and dirty detectives, they must put their fake badges on the line.",Awards,Learn more about contributing,Stars,Jake Johnson,Luke Greenfield
The Ringer,2005,2005,5.8,A young guy's only option to erase a really bad debt is to rig the Special Olympics by posing as a contestant.,Awards,Learn more about contributing,Stars,Johnny Knoxville,Barry W. Blaustein
Ride Along,2014,2014,6.1,"Security guard Ben must prove himself to his girlfriend's brother, top police officer James. He rides along James on a 24-hour patrol of Atlanta.",Awards,Writers,Stars,Ice Cube,Tim Story
To Rome with Love,2012,2012,6.3,"The lives of some visitors and residents of Rome and the romances, adventures and predicaments they get into.",Awards,Learn more about contributing,Stars,Woody Allen,Woody Allen
Good Times,1967,1967,4.5,Sonny and Cher spoof many Hollywood classic movie scenes.,Trivia,Learn more about contributing,Stars,Sonny Bono,William Friedkin
Deal of the Century,1983,1983,4.6,"A small time arms dealer in South America to sell weapons to the revolutionaries, winds up negotiating the sale of an experimental plane to the nation's dictator.",Trivia,Writers,Stars,Chevy Chase,William Friedkin
Steekspel,2012,2012,6.1,"During his 50th birthday party thrown by his wife, Remco's life takes a turn for the worse: His business partners are scheming behind his back to sell him out, and his former mistress shows up pregnant.",Trivia,Writers,Stars,Peter Blok,Paul Verhoeven
Ali G Indahouse,2002,2002,6.2,"Ali G unwittingly becomes a pawn in the Chancellor's plot to overthrow the Prime Minister of Great Britain. However, Ali is embraced by the nation as a voice of the youth, making the PM and his government more popular than ever.",Trivia,Learn more about contributing,Stars,Sacha Baron Cohen,Mark Mylod
Passion,2012,2012,5.3,The rivalry between the manipulative boss of an advertising agency and her talented protégée escalates from stealing credit to public humiliation to murder.,Awards,Learn more about contributing,Stars,Rachel McAdams,Brian De Palma
Praying with Anger,1992,1992,4.5,"An alienated, Americanized teenager of East Indian heritage is sent back to India where he discovers not only his roots but a lot about himself.",Trivia,Learn more about contributing,Stars,M. Night Shyamalan,M. Night Shyamalan
Aria,1987,1987,5.7,"10 short films by 10 different directors, set to arias by different composers.",Directors,Writers,Stars,John Hurt,Robert Altman
The Appointment,1969,1969,5.3,The lawyer Federico Fendi has reasons to believe that his wife Carla in secret is Rome's highest paid prostitute.,Awards,Learn more about contributing,Stars,Omar Sharif,Sidney Lumet
The Pleasure Principle,1991,1991,5.9,"Part relationship drama and part sex comedy follows a middle-aged man who loves women and sex and can't stop cheating. He gets a divorce from his angry wife, but then cheats on his lovers. However, one of them decides to get even.",Release date,Learn more about contributing,Stars,Peter Firth,David Cohen
Bates Motel,1987,1987,3.7,"A mentally disturbed man, who roomed with the late Norman Bates at the state lunatic asylum, inherits the legendary Bates Motel after the death of Norman and tries to fix it up to make it a respectable business.",Trivia,Learn more about contributing,Stars,Bud Cort,Richard Rothstein
Chasing Mavericks,2012,2012,7.1,"When young Jay Moriarity discovers that the mythic Mavericks surf break, one of the biggest waves on Earth, exists just miles from his Santa Cruz home, he enlists the help of local legend Frosty Hesson to train him to survive it.",Trivia,Learn more about contributing,Stars,Jonny Weston,Michael Apted
The Ward,2010,2010,5.5,An institutionalized young woman becomes terrorized by a ghost.,Trivia,Learn more about contributing,Stars,Amber Heard,John Carpenter
1492: Conquest of Paradise,1992,1992,6.4,Christopher Columbus' discovery of the Americas and the effect this has on the indigenous people.,Awards,Learn more about contributing,Stars,Gérard Depardieu,Ridley Scott
Medicine Man,1992,1992,6.0,"In the beautiful and dangerous Amazon rainforest, dissimilar people must make their choices between business, science, and love.",Awards,Learn more about contributing,Stars,Sean Connery,John McTiernan
HouseSitter,1992,1992,6.1,"Con artist Gwen moves into Newton's empty home without his knowledge and begins setting up house, posing as his new wife.",Trivia,Learn more about contributing,Stars,Steve Martin,Frank Oz
A Stranger Among Us,1992,1992,5.6,"Emily, a tough NYPD cop, is sent to an orthodox Jewish community to investigate a missing person plus $720,000 in missing diamonds. To solve what becomes a murder case, she has to join the community.",Awards,Learn more about contributing,Stars,Melanie Griffith,Sidney Lumet
Look Who's Talking Too,1990,1990,4.6,"This time, a new baby is on the way, and it's a girl. Wrapped together with the standard conflict between mother and father, Mikey engages in a bit of sibling rivalry with his new sister.",Awards,,Stars,John Travolta,Amy Heckerling
My New Gun,1992,1992,5.3,"Debbie (Diane Lane) and Gerald's lives drastically change after they get a gun. Their mysterious neighbor, Skippy, becomes an important and transforming figure in their lives.",Awards,Learn more about contributing,Stars,Diane Lane,Stacy Cochran
The Strong Man,1926,1926,6.6,"A meek Belgian soldier, fighting in World War I, receives a letter and a photo from ""Mary Brown"", an American girl he has never met. After the war, he travels to America searching for her.",Awards,Writers,Stars,Harry Langdon,Frank Capra
Shorts,2008,2008,4.7,"A young boy's discovery of a colorful, wish-granting rock causes chaos in the suburban town of Black Falls when jealous kids and scheming adults alike set out to get their hands on it.",Awards,Learn more about contributing,Stars,Jimmy Bennett,Robert Rodriguez
White Hunter Black Heart,1990,1990,6.5,"A thinly fictionalized account of a legendary movie director, whose desire to hunt down an animal turns into a grim situation with his movie crew in Africa.",Awards,Learn more about contributing,Stars,Clint Eastwood,Clint Eastwood
The Losers,2010,2010,6.3,"A CIA special forces team is betrayed and left for dead by their superiors, galvanizing them to mount an offensive on the CIA.",Awards,Writers,Stars,Idris Elba,Sylvain White
Far and Away,1992,1992,6.6,"A young Irish couple flee to the States, but subsequently struggle to obtain land and prosper freely.",Awards,Learn more about contributing,Stars,Tom Cruise,Ron Howard
Raising Cain,1992,1992,6.0,"The oncologist wife of a prominent child psychologist suspects her husband has an unhealthy scientific obsession with their child, unaware of what - or who - is really going on inside his head.",Awards,,Stars,John Lithgow,Brian De Palma
Toys,1992,1992,5.1,"When Lieutenant General Leland Zevo (Sir Michael Gambon) inherits a toymaking company and begins making war toys, his employees band together to stop him before he ruins the name of Zevo Toys forever.",Nominated for 2 Oscars,Learn more about contributing,Stars,Robin Williams,Barry Levinson
The Strangers,2008,2008,6.1,A young couple staying in an isolated vacation home are terrorized by three unknown assailants.,Awards,,Stars,Scott Speedman,Bryan Bertino
Reign of Fire,2002,2002,6.2,"A brood of fire-breathing dragons emerges from the earth and begins setting everything ablaze, establishing dominance over the planet.",Awards,Learn more about contributing,Stars,Matthew McConaughey,Rob Bowman
Io sono l'amore,2009,2009,7.0,"Emma left Russia to live with her husband in Italy. Now a member of a powerful industrial family, she is the respected mother of three, but feels unfulfilled. One day, Antonio, a talented chef and her son's friend, makes her senses kindle.",Nominated for 1 Oscar,Writers,Stars,Tilda Swinton,Luca Guadagnino
