title,year,certificate,rating,description,director,writer,stars,actors,genres
Porky's,1981,1981,6.2,"In 1954, a group of Florida high-school guys try to help their buddy lose his virginity, which leads them to seek revenge on a sleazy nightclub owner and his redneck sheriff brother for harassing them.",Awards,Learn more about contributing,Stars,Dan Monahan,Bob Clark
Ginger & Rosa,2012,2012,6.2,"A look at the lives of two teenage girls - inseparable friends Ginger and Rosa -- growing up in 1960s London as the Cuban Missile Crisis looms, and the pivotal event that comes to redefine their relationship.",Awards,Learn more about contributing,Stars,Elle Fanning,Sally Potter
Showgirls,1995,1995,5.0,"Nomi, a young drifter, arrives in Las Vegas to become a dancer and soon sets about clawing and pushing her way to become the top of the Vegas showgirls.",Awards,,Stars,Elizabeth Berkley,Paul Verhoeven
Made in America,2013,2013,4.9,"Hip-hop artist Jay-Z organizes the ""Budweiser Made In America"" music festival.",Awards,Stars,"Production, box office & more at IMDbPro",Janelle Monáe,Ron Howard
The Wolverine,2013,2013,6.7,"Wolverine comes to Japan to meet an old friend whose life he saved years ago, and gets embroiled in a conspiracy involving yakuza and mutants.",Awards,,Stars,Hugh Jackman,James Mangold
Wide Awake,1998,1998,5.9,A 10-year-old boy goes on a search for God after his grandfather dies.,Awards,Learn more about contributing,Stars,Joseph Cross,M. Night Shyamalan
The Net,1995,1995,5.9,"A computer programmer stumbles upon a conspiracy, putting her life and the lives of those around her in great danger.",Awards,,Stars,Sandra Bullock,Irwin Winkler
Something to Talk About,1995,1995,5.7,A woman's world is rocked when she discovers her husband is cheating on her.,Awards,Learn more about contributing,Stars,Julia Roberts,Lasse Hallström
The Players Club,1998,1998,5.7,A woman must contend with rival strippers and her boss in an attempt to make a legitimate living.,Awards,Learn more about contributing,Stars,LisaRaye McCoy,Ice Cube
A Late Quartet,2012,2012,7.1,"Members of a world-renowned string quartet struggle to stay together in the face of death, competing egos, and insuppressible lust.",Awards,Learn more about contributing,Stars,Philip Seymour Hoffman,Yaron Zilberman
Sense and Sensibility,1995,1995,7.7,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites.",Won 1 Oscar,,Stars,Emma Thompson,Ang Lee
Ender's Game,2013,2013,6.6,"Young Ender Wiggin is recruited by the International Military to lead the fight against the Formics, an insectoid alien race who had previously tried to invade Earth and had inflicted heavy losses on humankind.",Awards,Learn more about contributing,Stars,Harrison Ford,Gavin Hood
Village of the Damned,1995,1995,5.6,A small town's women give birth to unfriendly alien children posing as humans.,Awards,Writers,Stars,Christopher Reeve,John Carpenter
Crimes of the Future,1970,1970,4.8,"Crimes of the Future details the wanderings of Tripod (Mlodzik), sometime director of a dermatological clinic called the House of Skin, who is searching for his mentor, the mad dermatologist Antoine Rouge. Rouge has disappeared following a catastrophic plague resulting from cosmetic products, which has killed the entire population of sexually mature women. Tripod join... Read all",Trivia,Learn more about contributing,Stars,Ronald Mlodzik,David Cronenberg
The Theory of Flight,1998,1998,6.5,"Two miserable people find happiness together: a man dreaming of flying, and a woman dreaming of living.",Awards,Learn more about contributing,Stars,Helena Bonham Carter,Paul Greengrass
Vampires,1998,1998,6.1,"Recovering from an ambush that killed his entire team, a vengeful vampire slayer must retrieve an ancient Catholic relic that, should it be acquired by vampires, will allow them to walk in sunlight.",Awards,,Stars,James Woods,John Carpenter
Bad Santa 2,2016,2016,5.6,"Fueled by cheap whiskey, greed and hatred, Willie teams up once again with his angry little sidekick, Marcus, to knock off a Chicago charity on Christmas Eve.",Awards,Writers,Stars,Billy Bob Thornton,Mark Waters
The Gingerbread Man,1998,1998,5.7,"A lawyer uses his power to help his lover put her father behind bars, but when he escapes, they are all in danger.",Trivia,Learn more about contributing,Stars,Kenneth Branagh,Robert Altman
Friend Request,2016,2016,5.2,"When a college student unfriends a mysterious girl online, she finds herself fighting a demonic presence that wants to make her lonely by killing her closest friends.",Awards,Learn more about contributing,Stars,Alycia Debnam-Carey,Simon Verhoeven
The Family,2013,2013,6.3,"The Manzoni family, a notorious mafia clan, is relocated to Normandy, France under the Witness Protection Program, where fitting in soon becomes challenging, as their old habits die hard.",Awards,Learn more about contributing,Stars,Robert De Niro,Luc Besson
The Legend of Tarzan,2016,2016,6.2,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",Awards,Learn more about contributing,Stars,Alexander Skarsgård,David Yates
Our Kind of Traitor,2016,2016,6.2,"A couple finds themselves lured into a Russian oligarch's plans to defect, and are soon positioned between the Russian Mafia and the British Secret Service, neither of whom they can trust.",Awards,Learn more about contributing,Stars,Carlos Acosta,Susanna White
Покахонтас,1995,1995,6.7,An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.,Won 2 Oscars,Writers,Stars,Mel Gibson,Mike Gabriel
The Golden Compass,2007,2007,6.1,"In a parallel universe, young Lyra Belacqua journeys to the far North to save her best friend and other kidnapped children from terrible experiments by a mysterious organization.",Won 1 Oscar,,Stars,Nicole Kidman,Chris Weitz
Jack Frost,1998,1998,5.4,"A father who can't keep his promises is killed in a car accident. One year later, he returns as a snowman who has the final chance to put things right with his son before he is gone forever.",Awards,Writers,Stars,Michael Keaton,Troy Miller
The Chronicles of Narnia: Prince Caspian,2008,2008,6.5,"The Pevensie siblings return to Narnia, where they are enlisted to once again help ward off an evil king and restore the rightful heir to the land's throne, Prince Caspian.",Awards,Writers,Stars,Ben Barnes,Andrew Adamson
